customer_first,customer_last,customer_email,customer_phone,customer_address,seat,show,ticket_price,date,theater,theater_address,theater_phone,theater_email
Joice,Belford,jbelfordbw@oaic.gov.au,597-748-6096,,A5,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Joice,Belford,jbelfordbw@oaic.gov.au,597-748-6096,,B1,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Joice,Belford,jbelfordbw@oaic.gov.au,597-748-6096,,B2,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Joice,Belford,jbelfordbw@oaic.gov.au,597-748-6096,,B3,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Lise,Eles,leles8q@free.fr,130-343-1228,6001 Golden Leaf Court,B4,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Lise,Eles,leles8q@free.fr,130-343-1228,6001 Golden Leaf Court,B5,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Lise,Eles,leles8q@free.fr,130-343-1228,6001 Golden Leaf Court,C1,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Lise,Eles,leles8q@free.fr,130-343-1228,6001 Golden Leaf Court,C2,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Sigvard,Hammett,shammett7p@trellian.com,427-974-7832,36 Macpherson Court,C3,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Sigvard,Hammett,shammett7p@trellian.com,427-974-7832,36 Macpherson Court,C4,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Sarine,Bergstrand,sbergstrand35@dell.com,,6907 Cherokee Plaza,C5,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Sarine,Bergstrand,sbergstrand35@dell.com,,6907 Cherokee Plaza,D1,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Sarine,Bergstrand,sbergstrand35@dell.com,,6907 Cherokee Plaza,D2,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Therine,Colnett,tcolnett4c@amazon.co.jp,437-787-0467,4 Jay Center,D3,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Therine,Colnett,tcolnett4c@amazon.co.jp,437-787-0467,4 Jay Center,D4,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Therine,Colnett,tcolnett4c@amazon.co.jp,437-787-0467,4 Jay Center,D5,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,E1,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,E2,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,E3,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Hertha,Glendining,hglendiningcg@blog.com,923-614-3843,24 Ridgeway Drive,E4,Send in the Clowns,15.00,2021-03-01,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Flinn,Crowcher,fcrowcherkg@dagondesign.com,248-528-3878,606 Pierstorff Road,A2,Send in the Clowns,15.00,2021-09-24,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Damara,Whieldon,dwhieldon85@mediafire.com,586-275-8659,9944 Toban Trail,A4,Send in the Clowns,15.00,2021-09-24,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
Damara,Whieldon,dwhieldon85@mediafire.com,586-275-8659,9944 Toban Trail,A5,Send in the Clowns,15.00,2021-09-24,10 Pin,"62341 Merchant Street, Eagan, MN 55555",(651) 555-5555,ten.pin@rcttc.com
